code	hexValue	hexMask	dontcareMask	qsts	sName	Description	reqItem1	reqItem2	reqItem3	reqItem4	noItem1	noItem2	noItem3	noItem4	noItem5	Notes
axqxs0	0000	ffff	0000		Inactive											
axqxsc	2001	2001	1ffc	qstsComplete	"Quest Complete"	"Quest completed."										
axqxsp	0001	2001	1ffc	qstsprevious	"Quest Complete"	"You completed this quest in a previous game."										
																
a1q1s1	0004	0017	0008	qstsa1q11	"Look for the Den"	"Look for the Den in the wilderness outside the Rogues' Camp."										"Not sure what bit 3 is for; it was set for Druid when he got the quest from Akara, but not for Assassin.  Paladin, who never spoke to Akara, never had this bit set."
a1q1s2	0010	0013	000c	qstsa1q12	"Kill all monsters"	"Kill all the monsters in the Den."										
a1q1s2mon	0010	0013	000c	qstsa1q14	"Few monsters left"	"Monsters remaining:"										"Cannot set this in a saved game; depends on monsters which are regenerated when you reload"
a1q1s2mon1	0010	0013	000c	qstsa1q140	"One monster left"	"One monster left."										"Cannot set this in a saved game; depends on monsters which are regenerated when you reload"
a1q1s3	2012	0003	200c	qstsa1q15	"See Akara for reward"	"Return to Akara for a reward."										
																
a1q2s1	000c	0017	0008	qstsa1q21	"Look for Blood Raven"	"Look for Blood Raven in the Burial Grounds next to the Cold Plains."										"In the Druid game, the value was 4 before he even received the quest from Kashya.  It got set just after receiving the reward from Akara for completing quest #1."
a1q2s2	001c	0017	0000	qstsa1q22	"Kill Blood Raven"	"Kill Blood Raven."										
a1q2s3	201e	0003	2000	qstsa1q23	"See Kashya for reward"	"Return to Kashya for a reward."										
a1q2sc	201d	2001	101c	qstsComplete	"Quest Complete"	"Quest completed."										
a1q2sp	001d	2001	101c	qstsprevious	"Quest Complete"	"You completed this quest in a previous game."										
																
a1q3s0	0000	ffff	0000		Inactive						hdm					
a1q3s1	000c	0047	0000	qstsa1q31	"Look for Malus"	"Look for the Horadric Malus in the Monastery Barracks. Beware of the Smith that guards it."					hdm					
a1q3s2	004c	0047	0000	qstsa1q32	"Return Malus to Charsi"	"Return the Horadric Malus to Charsi."	hdm									
a1q3s3	204e	0003	2000	qstsa1q32b	"Charsi will imbue item"	"Charsi will imbue an item with magical power."					hdm					
a1q3sc	204d	2001	104c	qstsComplete	"Quest Complete"	"Quest completed."					hdm					
a1q3sp	004d	2001	904c	qstsprevious	"Quest Complete"	"You completed this quest in a previous game."					hdm					"Bit 15 is a new one on me.  Bork 30 doesn't have it set.  Found it on Haal 31 right after he beat Normal Diablo.  Found in on Zrvp while in Act III."
				qstsa1q3x	"Malus is gone"	"The person with the malus quit the game."					hdm					
																
a1q4s0	0000	ffff	0000		Inactive						bks	bkd				
a1q4s1	0004	001f	0000	qstsa1q41	"Find the Scroll"	"Go through the Underground Passage to the Dark Wood, search for the Tree of Inifuss, and recover the Scroll."					bks	bkd				
a1q4s1a	0008	001f	0004	qstsa1q41	"Find the Scroll"	"Go through the Underground Passage to the Dark Wood, search for the Tree of Inifuss, and recover the Scroll."					bks	bkd				"This is what happens if you drop the scroll (apparently)"
a1q4s2	000c	001b	0004	qstsa1q42	"Take Scroll to Akara"	"Take the Scroll of Inifuss to Akara."	bks				bkd					
a1q4s3	000c	001b	0004	qstsa1q43	"Go to Tristram"	"Go to the Cairn Stones in the Stony Field. Touch the Stones in the order found on the Scroll of Inifuss. Enter the portal to Tristram, but beware the danger that lies ahead."	bkd				bks					
a1q4s4	001c	001b	0004	qstsa1q44	"Find Deckard Cain"	"Find and rescue Deckard Cain."					bks	bkd				
				qstsa1q45	"Cain is safe"	"Cain has been rescued and is now at the Rogue Encampment."					bks	bkd				
a1q4s5	201e	0003	2004	qstsa1q46	"Visit Cain and Akara"	"Visit Cain and Akara in the Rogue Encampment."					bks	bkd				
				qstsa1q46b	"Return for reward"	"Talk to Akara for a reward."					bks	bkd				
a1q4sc	201d	2001	141c	qstsComplete	"Quest Complete"	"Quest completed."					bks	bkd				"Bit 10 indicates whether you have completed the hidden Cow Level."
a1q4sp	001d	2001	141c	qstsprevious	"Quest Complete"	"You completed this quest in a previous game."					bks	bkd				
a1q4sx	4000	4001	341e	qstsThankYouComeAgain	"Some help you are"	"You cannot complete this quest in this game. You can complete it by creating a new game."										
				qstsa1q4x		"The person with the horadric scroll quit the game."										
																
a1q5s1	0004	0057	0000	qstsa1q51	"Look for the Tower"	"Look for the Tower in the Black Marsh beyond the Dark Wood."										
a1q5s2	0044	0057	0000	qstsa1q51a	"Explore the Tower"	"Explore the cellar dungeons beneath the Tower ruins."										
				qstsa1q51b	"Explore the Tower"	"Explore the cellar dungeons beneath the Tower ruins."										
a1q5s3	0054	0057	0000	qstsa1q52	"Dispose of Countess"	"Dispose of the evil Countess."										
a1q5s4	2055	2001	1054	qstsComplete	"Quest Complete"	"Quest completed."										
a1q5s5	0055	2001	1054	qstsprevious	"Quest Complete"	"You completed this quest in a previous game."										
																
a1q6s1	000c	0001	0000	qstsa1q61	"Find Andariel"	"Find Andariel's Lair in the depths of the Monastery Catacombs."										
				qstsa1q62		"Kill Andariel."										
	201e	2003	2000	qstsa1q62b		"Return to Warriv to take the Caravan East."										
a1q6s2	201e	2003	2000	qstsa1q63	"Return to Warriv"	"Return to Warriv to take the Caravan East."										
a1q6s3	201d	2001	101c	qstsComplete	"Quest Complete"	"Quest completed."										
